country,Unnamed: 0,region,all_ip
Russia,0,St.-Petersburg,39609
Russia,1,Moscow Oblast,19299
Russia,2,Krasnodarskiy Kray,14706
Russia,3,Sverdlovskaya Oblast',12280
Russia,4,Samarskaya Oblast',10654
Russia,5,Novosibirskaya Oblast',10411
Russia,6,Rostov,8221
Russia,7,Tatarstan,8100
Russia,8,Nizhegorodskaya Oblast',7900
Russia,9,Chelyabinsk,7187
Russia,10,Perm Krai,6035
Russia,11,Bashkortostan,5859
Russia,12,Voronezhskaya Oblast',5764
Russia,13,Irkutskaya Oblast',5505
Russia,14,Saratovskaya Oblast',4455
Russia,15,Krasnoyarskiy Kray,4418
Russia,16,Yaroslavskaya Oblast',3970
Russia,17,Primorskiy Kray,3813
Russia,18,Stavropol'skiy Kray,3537
Russia,19,Altai Krai,3456
Russia,20,Khabarovsk Krai,3374
Russia,21,Omskaya Oblast',3353
Russia,22,Tyumenskaya Oblast',3310
Russia,23,Volgogradskaya Oblast',3307
Russia,24,Kemerovskaya Oblast',3255
Russia,25,Kaliningradskaya Oblast',3092
Russia,26,Tul'skaya Oblast',2812
Russia,27,Udmurtskaya Respublika,2583
Russia,28,Tomskaya Oblast',2553
Russia,29,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,2458
Russia,30,Vladimirskaya Oblast',2443
Russia,31,Ulyanovsk Oblast,2387
Russia,32,Tverskaya Oblast',2356
Russia,33,Ryazanskaya Oblast',2088
Russia,34,Kaluzhskaya Oblast',2020
Russia,35,Leningrad,1890
Russia,36,Penzenskaya Oblast',1871
Russia,37,Vologodskaya Oblast',1865
Russia,38,Chuvashia,1846
Russia,39,Ivanovskaya Oblast',1831
Russia,40,Kirovskaya Oblast',1740
Russia,41,Belgorodskaya Oblast',1696
Russia,42,Orenburgskaya Oblast',1588
Russia,43,Lipetskaya Oblast',1581
Russia,44,Bryanskaya Oblast',1546
Russia,45,Astrakhanskaya Oblast',1540
Russia,46,Novgorodskaya Oblast',1399
Russia,47,Smolenskaya Oblast',1275
Russia,48,Kurskaya Oblast',1252
Russia,49,Arkhangelskaya,1132
Russia,50,Orlovskaya Oblast',1110
Russia,51,Tambovskaya Oblast',1096
Russia,52,Respublika Mariy-El,1059
Russia,53,Murmansk,1022
Russia,54,Komi Republic,965
Russia,55,Republic of Karelia,950
Russia,56,Kurganskaya Oblast',943
Russia,57,Kostromskaya Oblast',917
Russia,58,Respublika Sakha (Yakutiya),840
Russia,59,Respublika Mordoviya,761
Russia,60,Dagestan,751
Russia,61,Amurskaya Oblast',728
Russia,62,Transbaikal Territory,647
Russia,63,Sakhalinskaya Oblast',646
Russia,64,Respublika Buryatiya,644
Russia,65,Respublika Khakasiya,585
Russia,66,Pskovskaya Oblast',574
Russia,67,Yamalo-Nenetskiy Avtonomnyy Okrug,486
Russia,68,North Ossetia,480
Russia,69,Respublika Adygeya,438
Russia,70,Chechnya,396
Russia,71,Kabardino-Balkarskaya Respublika,340
Russia,72,Karachayevo-Cherkesiya,295
Russia,73,Kamtchatski Kray,210
Russia,74,Magadanskaya Oblast',174
Russia,75,Kalmykiya,131
Russia,76,Respublika Ingushetiya,126
Russia,77,Respublika Altay,76
Russia,78,Respublika Tyva,73
Russia,79,Jewish Autonomous Oblast,58
Russia,80,Nenetskiy Avtonomnyy Okrug,48
Russia,81,Chukotskiy Avtonomnyy Okrug,2
